Ticker,2023 Debt,2023 Equity,2023 Revenue,2023 Operating Cash Flow,2023 Capital Expenditure,2023 Current Assets,2023 Current Liabilities,2023 Current Income,2022 Debt,2022 Equity,2022 Revenue,2022 Operating Cash Flow,2022 Capital Expenditure,2022 Current Assets,2022 Current Liabilities,2022 Current Income,2021 Debt,2021 Equity,2021 Revenue,2021 Operating Cash Flow,2021 Capital Expenditure,2021 Current Assets,2021 Current Liabilities,2021 Current Income,2024 Debt,2024 Equity,2024 Revenue,2024 Operating Cash Flow,2024 Capital Expenditure,2024 Current Assets,2024 Current Liabilities,2024 Current Income
PGR,6888600000.0,20277100000.0,62082300000.0,10643300000.0,-252000000.0,,,,6388300000.0,15891000000.0,49586400000.0,6848800000.0,-292000000.0,,,,4898800000.0,18231600000.0,47676500000.0,7761700000.0,-243500000.0,,,,,,,,,,,
QCOM,15398000000.0,21581000000.0,35820000000.0,11299000000.0,-1450000000.0,22464000000.0,9628000000.0,7788000000.0,15482000000.0,18013000000.0,44200000000.0,9096000000.0,-2262000000.0,20724000000.0,11866000000.0,15860000000.0,,,,,,,,,14634000000.0,26274000000.0,38962000000.0,12202000000.0,-1041000000.0,25231000000.0,10504000000.0,10071000000.0
RTX,45239000000.0,59798000000.0,68920000000.0,7883000000.0,-3166000000.0,48417000000.0,46761000000.0,5341000000.0,33500000000.0,72632000000.0,67074000000.0,7168000000.0,-2775000000.0,42443000000.0,39114000000.0,7393000000.0,33142000000.0,73068000000.0,64388000000.0,7071000000.0,-2442000000.0,42050000000.0,35449000000.0,7080000000.0,,,,,,,,
CRM,14088000000.0,58359000000.0,31352000000.0,7111000000.0,-798000000.0,26395000000.0,25891000000.0,1858000000.0,13985000000.0,58131000000.0,26492000000.0,6000000000.0,-717000000.0,22850000000.0,21788000000.0,548000000.0,,,,,,,,,12588000000.0,59646000000.0,34857000000.0,10234000000.0,-736000000.0,29074000000.0,26631000000.0,5999000000.0
SLB,11965000000.0,20189000000.0,33135000000.0,6637000000.0,-2092000000.0,17718000000.0,13395000000.0,5488000000.0,12226000000.0,17685000000.0,28091000000.0,3720000000.0,-1715000000.0,15003000000.0,12018000000.0,4151000000.0,,,,,,,,,12074000000.0,21130000000.0,36289000000.0,6602000000.0,-2129000000.0,18570000000.0,12811000000.0,6326000000.0
SBUX,24599800000.0,-7994800000.0,35975600000.0,6008700000.0,-2333600000.0,7303400000.0,9345300000.0,5502900000.0,23804800000.0,-8706600000.0,32250300000.0,4397300000.0,-1841300000.0,7018700000.0,9151800000.0,4429700000.0,,,,,,,,,25803100000.0,-7448900000.0,36176200000.0,6095600000.0,-2777500000.0,6847400000.0,9070000000.0,5107600000.0
SNEX,6476300000.0,1379100000.0,60856100000.0,-23700000.0,-46900000.0,16337700000.0,11330600000.0,1173800000.0,5352300000.0,1070100000.0,66036000000.0,-229500000.0,-49500000.0,15201700000.0,11452700000.0,466800000.0,,,,,,,,,11316000000.0,1709100000.0,99887800000.0,506900000.0,-65200000.0,19970700000.0,11959100000.0,1529400000.0
TSLA,9573000000.0,62634000000.0,96773000000.0,13256000000.0,-8899000000.0,49616000000.0,28748000000.0,8891000000.0,5748000000.0,44704000000.0,81462000000.0,14724000000.0,-7172000000.0,40917000000.0,26709000000.0,13832000000.0,,,,,,,,,13623000000.0,72913000000.0,97690000000.0,14923000000.0,-11342000000.0,58360000000.0,28821000000.0,7760000000.0
TMO,34917000000.0,46735000000.0,42857000000.0,8406000000.0,-1479000000.0,24589000000.0,14012000000.0,7318000000.0,34488000000.0,43978000000.0,44915000000.0,9154000000.0,-2243000000.0,25229000000.0,17010000000.0,8507000000.0,34870000000.0,40793000000.0,39211000000.0,9312000000.0,-2523000000.0,20113000000.0,13436000000.0,10225000000.0,,,,,,,,
TRV,8031000000.0,24921000000.0,41373000000.0,7711000000.0,,,,,7292000000.0,21560000000.0,36896000000.0,6465000000.0,,,,,7290000000.0,28887000000.0,34816000000.0,7274000000.0,,,,,,,,,,,,
TFC,59694000000.0,59101000000.0,23390000000.0,8631000000.0,,,,,62946000000.0,60514000000.0,23035000000.0,11081000000.0,-564000000.0,,,,38452000000.0,69271000000.0,22296000000.0,7892000000.0,-442000000.0,,,,,,,,,,,
USB,62935000000.0,55306000000.0,28013000000.0,8447000000.0,,,,,69388000000.0,50766000000.0,24184000000.0,21119000000.0,,,,,41718000000.0,54918000000.0,22721000000.0,9870000000.0,,,,,,,,,,,,
UBER,11199000000.0,11249000000.0,37281000000.0,3585000000.0,-223000000.0,11297000000.0,9454000000.0,1110000000.0,11139000000.0,7340000000.0,31877000000.0,642000000.0,-252000000.0,9249000000.0,8853000000.0,-1832000000.0,11105000000.0,14458000000.0,17455000000.0,-445000000.0,-298000000.0,8819000000.0,9024000000.0,-3834000000.0,,,,,,,,
UAL,34417000000.0,9324000000.0,53717000000.0,6911000000.0,-7171000000.0,18487000000.0,22203000000.0,5160000000.0,36433000000.0,6896000000.0,44955000000.0,6066000000.0,-4819000000.0,20058000000.0,19992000000.0,2477000000.0,39366000000.0,5029000000.0,24634000000.0,2067000000.0,-2107000000.0,21834000000.0,18304000000.0,-368000000.0,,,,,,,,
UPS,26729000000.0,17306000000.0,90958000000.0,10238000000.0,-5158000000.0,19413000000.0,17676000000.0,9141000000.0,23521000000.0,19786000000.0,100338000000.0,14104000000.0,-4769000000.0,22217000000.0,18140000000.0,13094000000.0,25528000000.0,14253000000.0,97287000000.0,15007000000.0,-4194000000.0,24934000000.0,17569000000.0,12810000000.0,,,,,,,,
VZ,174942000000.0,92430000000.0,133974000000.0,37475000000.0,-24563000000.0,36814000000.0,53223000000.0,28718000000.0,176331000000.0,91144000000.0,136835000000.0,37141000000.0,-26740000000.0,37857000000.0,50171000000.0,30467000000.0,177930000000.0,81790000000.0,133613000000.0,39539000000.0,-67882000000.0,36728000000.0,47160000000.0,32448000000.0,,,,,,,,
V,20463000000.0,38733000000.0,32653000000.0,20755000000.0,-1059000000.0,33532000000.0,23098000000.0,21927000000.0,22450000000.0,35581000000.0,29310000000.0,18849000000.0,-970000000.0,30205000000.0,20853000000.0,19681000000.0,,,,,,,,,20836000000.0,39137000000.0,35926000000.0,19950000000.0,-1257000000.0,34033000000.0,26517000000.0,24057000000.0
DIS,49895000000.0,99277000000.0,88898000000.0,9866000000.0,-4969000000.0,32763000000.0,31139000000.0,8992000000.0,51608000000.0,95008000000.0,82722000000.0,6010000000.0,-4943000000.0,29098000000.0,29073000000.0,6770000000.0,,,,,,,,,48743000000.0,100696000000.0,91361000000.0,13971000000.0,-5412000000.0,25241000000.0,34599000000.0,11914000000.0
WBD,43669000000.0,45226000000.0,41321000000.0,7477000000.0,-1316000000.0,14218000000.0,15332000000.0,-886000000.0,48999000000.0,47095000000.0,33817000000.0,4304000000.0,-987000000.0,13999000000.0,15017000000.0,-3496000000.0,14759000000.0,11599000000.0,12191000000.0,2798000000.0,-373000000.0,7264000000.0,3459000000.0,1973000000.0,,,,,,,,
WFC,219471000000.0,185735000000.0,82597000000.0,40358000000.0,,,,,195392000000.0,180227000000.0,74368000000.0,27048000000.0,,,,,173907000000.0,187606000000.0,79166000000.0,-11525000000.0,,,,,,,,,,,,
WKC,887900000.0,1943000000.0,47710600000.0,271300000.0,-87600000.0,4503800000.0,4049700000.0,237900000.0,845700000.0,1984900000.0,59043100000.0,138500000.0,-78600000.0,5238100000.0,4608600000.0,273000000.0,508700000.0,1912700000.0,31337000000.0,173200000.0,-39200000.0,4019700000.0,3096700000.0,153900000.0,,,,,,,,
